"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00014765","PROVIDENCE, RI US","2005-01-01","4.0"," 1212"," 1211","0.0","0.0","0.0","6.7","11.7","1.7","    0","  310","  300","0.0","11.2","14.3","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-02","4.2"," 1937"," 0316","0.0","0.0","0.0","2.2","6.7","-2.2",,"  190","   10","0.0","6.3","8.0",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-03","3.1"," 0447"," 0446","7.9","0.0","0.0","9.4","11.7","6.7",,"  240","  260","0.0","7.6","10.3","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-04","3.1"," 0546"," 0921","13.2","0.0","0.0","5.6","7.2","3.9",,"   20","   10","0.0","7.2","9.4","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-05","3.5"," 1724"," 1724","1.3","0.0","0.0","2.2","6.1","-2.2",,"   30","   30","0.0","7.6","8.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-06","3.9"," 0610"," 0610","14.7","114.0","76.0","-1.1","1.7","-3.9","    0","   10","   10","12.7","6.7","8.0","    1",,,"    1",,"    1",,,,,,"    1","    1","    1","    1","    1","    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-07","3.9"," 0945"," 1000","0.0","0.0","25.0","0.6","2.8","-2.2",,"  310","  310","0.0","10.7","14.3","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-08","2.7"," 2052"," 2050","20.3","0.0","0.0","0.0","1.1","-1.7",,"  360","  360","0.0","7.6","9.8","    1",,,"    1",,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-09","2.7"," 2355"," 2354","0.0","0.0","0.0","-0.6","1.1","-2.2",,"  360","  360","0.0","6.7","8.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-10","3.0"," 1343"," 1343","0.0","0.0","0.0","2.8","6.1","-0.6",,"  250","  260","0.0","7.6","9.8","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
